"MF88 Individual Supply + Individual Exhaust (ERV, ResVRF)  /  Proposed  /  EX03_MF88_Central-WSHP_CZ09.cibd25",002
"Fri 22-May-26   4:3 pm"
"x-ldPass","Hour"
"Month","Day","Hr","CW Loop-HtgLd (Btu)","ClgLd (Btu)","NetLd (Btu)","DemFlw (gpm)","ActualFlw (gpm)","NetLd (W)","FlowFrac"
1,5,1,0,0,0,0,698.198,0,0
1,5,2,0,0,0,0,698.198,0,0
1,5,3,0,0,0,0,698.198,0,0
1,5,4,194.451,0,194.451,0.0388754,698.198,56.9903,0.0440448
1,5,5,534.301,0,534.301,0.10682,698.198,156.595,0.0440448
1,5,6,798.557,0,798.557,0.159651,698.198,234.044,0.0440448
1,5,7,853.844,0,853.844,0.170704,698.198,250.247,0.0440448
1,5,8,889.206,0,889.206,0.177774,698.198,260.611,0.0440448
1,5,9,450.217,0,450.217,0.0900091,698.198,131.951,0.0440448
1,5,10,195.236,0,195.236,0.0390324,698.198,57.2204,0.0440448
1,5,11,4.71258,0,4.71258,0.000942159,698.198,1.38118,0.0440448
1,5,12,0,0,0,0,698.198,0,0
1,5,13,0,0,0,0,698.198,0,0
1,5,14,0,0,0,0,698.198,0,0
1,5,15,0,0,0,0,698.198,0,0
1,5,16,0,0,0,0,698.198,0,0
1,5,17,0,0,0,0,698.198,0,0
1,5,18,0,0,0,0,698.198,0,0
1,5,19,0,0,0,0,698.198,0,0
1,5,20,0,0,0,0,698.198,0,0
1,5,21,0,0,0,0,698.198,0,0
1,5,22,0,0,0,0,698.198,0,0
1,5,23,0,0,0,0,698.198,0,0
1,5,24,0,0,0,0,698.198,0,0
1,6,1,0,0,0,0,698.198,0,0
1,6,2,0,0,0,0,698.198,0,0
1,6,3,0,0,0,0,698.198,0,0
1,6,4,0,0,0,0,698.198,0,0
1,6,5,0,0,0,0,698.198,0,0
1,6,6,0,0,0,0,698.198,0,0
1,6,7,0,0,0,0,698.198,0,0
1,6,8,0,0,0,0,698.198,0,0
1,6,9,0,0,0,0,698.198,0,0
1,6,10,0,0,0,0,698.198,0,0
1,6,11,0,0,0,0,698.198,0,0
1,6,12,0,-7560.79,-7560.79,1.51158,698.198,-2215.94,0.0440448
1,6,13,0,-1711.53,-1711.53,0.342176,698.198,-501.62,0.0440448
1,6,14,0,-19512,-19512,3.90091,698.198,-5718.63,0.0440448
1,6,15,0,-20338.1,-20338.1,4.06608,698.198,-5960.77,0.0440448
1,6,16,0,-33346.5,-33346.5,6.66676,698.198,-9773.29,0.0440448
1,6,17,0,-22850.9,-22850.9,4.56845,698.198,-6697.22,0.0440448
1,6,18,0,0,0,0,698.198,0,0
1,6,19,0,0,0,0,698.198,0,0
1,6,20,0,0,0,0,698.198,0,0
1,6,21,0,0,0,0,698.198,0,0
1,6,22,0,0,0,0,698.198,0,0
1,6,23,0,0,0,0,698.198,0,0
1,6,24,0,0,0,0,698.198,0,0
1,7,1,0,0,0,0,698.198,0,0
1,7,2,0,0,0,0,698.198,0,0
1,7,3,0,0,0,0,698.198,0,0
1,7,4,0,0,0,0,698.198,0,0
1,7,5,0,0,0,0,698.198,0,0
1,7,6,0,0,0,0,698.198,0,0
1,7,7,0,0,0,0,698.198,0,0
1,7,8,0,0,0,0,698.198,0,0
1,7,9,0,0,0,0,698.198,0,0
1,7,10,0,0,0,0,698.198,0,0
1,7,11,0,0,0,0,698.198,0,0
1,7,12,0,0,0,0,698.198,0,0
1,7,13,0,0,0,0,698.198,0,0
1,7,14,0,0,0,0,698.198,0,0
1,7,15,0,0,0,0,698.198,0,0
1,7,16,0,0,0,0,698.198,0,0
1,7,17,0,0,0,0,698.198,0,0
1,7,18,0,0,0,0,698.198,0,0
1,7,19,0,0,0,0,698.198,0,0
1,7,20,0,0,0,0,698.198,0,0
1,7,21,0,0,0,0,698.198,0,0
1,7,22,0,0,0,0,698.198,0,0
1,7,23,0,0,0,0,698.198,0,0
1,7,24,0,0,0,0,698.198,0,0
1,8,1,0,0,0,0,698.198,0,0
1,8,2,0,0,0,0,698.198,0,0
1,8,3,0,0,0,0,698.198,0,0
1,8,4,0,0,0,0,698.198,0,0
