; Tables for Std model AutoHardSize capacity look-up rules
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,(W/cfm)
,"BaseSys7or3b SupFan","ConstantVolume","BaseAirSys7or3b","n/a",1171.154,-99996.000,0.650,"PowerPerUnitFlow",2.937,0.834,1.000,"InAirStream",0.855,0.6209
,"BaseSys7or3b SupFan-2","ConstantVolume","BaseAirSys7or3b-2","n/a",1373.454,-99996.000,0.650,"PowerPerUnitFlow",2.830,0.942,1.000,"InAirStream",0.855,0.5983
,"BaseSys7or3b SupFan-3","ConstantVolume","BaseAirSys7or3b-3","n/a",1563.972,-99996.000,0.650,"PowerPerUnitFlow",2.805,1.064,1.500,"InAirStream",0.865,0.5862
,"BaseSys7or3b SupFan-4","VariableSpeedDrive","BaseAirSys7or3b-4","n/a",5379.414,2689.707,0.650,"PowerPerUnitFlow",3.113,4.060,5.000,"InAirStream",0.895,0.6288
,"BaseSys7or3b SupFan-5","ConstantVolume","BaseAirSys7or3b-5","n/a",637.507,-99996.000,0.650,"PowerPerUnitFlow",2.979,0.461,0.500,"InAirStream",0.855,0.6299
,"BaseSys7or3b SupFan-6","ConstantVolume","BaseAirSys7or3b-6","n/a",1649.731,-99996.000,0.650,"PowerPerUnitFlow",2.771,1.108,1.500,"InAirStream",0.865,0.5790
,"BaseSys11 SupFan","ConstantVolume","BaseAirSys11","n/a",1010.513,-99996.000,0.650,"PowerPerUnitFlow",2.743,0.672,0.750,"InAirStream",0.855,0.5800
,"BaseSys7or3b SupFan-7","ConstantVolume","BaseAirSys7or3b-7","n/a",2020.653,-99996.000,0.650,"PowerPerUnitFlow",3.165,1.550,2.000,"InAirStream",0.865,0.6614
ENDTABLE
TABLE EX05a_NR_SmOff_DOAS-HRV-VRF_CZ0925OACtrl
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration
;
,"BaseSys7or3b OACtrl","FixedDryBulb","BaseAirSys7or3b","Integrated"
,"BaseSys7or3b OACtrl-2","FixedDryBulb","BaseAirSys7or3b-2","Integrated"
,"BaseSys7or3b OACtrl-3","FixedDryBulb","BaseAirSys7or3b-3","Integrated"
,"BaseSys7or3b OACtrl-4","FixedDryBulb","BaseAirSys7or3b-4","Integrated"
,"BaseSys7or3b OACtrl-5","NoEconomizer","BaseAirSys7or3b-5","UNDEFINED"
,"BaseSys7or3b OACtrl-6","FixedDryBulb","BaseAirSys7or3b-6","Integrated"
,"BaseSys11 OACtrl","FixedDryBulb","BaseAirSys11","Integrated"
,"BaseSys7or3b OACtrl-7","FixedDryBulb","BaseAirSys7or3b-7","Integrated"
ENDTABLE
