AirSystems
,,,,,Cooling,,,,Heating,,,Fan/Ventilation,,,Controls
Name,Type,Status,System Count,Floor Area Served,Net Capacity,Design Supply T,Capacity/Area,Supply Flow/Ton,Net Capacity,Design Supply T,Capacity/Area,Supply Flow,Supply Flow/Area,Design OA,OA/Area,Control Zone Name,Temp Control,FixedT,Supply HiT,At Outdoor,Supply LowT,At OutdoorT,ReheatCtrlMthd,Availability Schedule,Night Cycle Control
,,,(#),(ft2),(Btu/hr),(degF),(Btu/ft2),(cfm/ton),(Btu/hr),(degF),(Btu/ft2),(cfm),(cfm/ft2),(cfm),(cfm/ft2),,,(degF),(degF),(degF),(degF),( degF),,,
"BaseSys7or3b CoilHtg-4","HeatPump","New","Electric","BaseAirSys7or3b-4",1,"n/a",189762,182199,"NONE","NONE",0,"Air",1,-99996,-99996,3.3,3.3,0.274097,17,35,-99996,-99996,-99996,-99996,2.98546,-99996,-99996
"BaseSys7or3b CoilHtg-5","HeatPump","New","Electric","BaseAirSys7or3b-5",1,"n/a",21706.6,20841.4,"NONE","NONE",0,"Air",1,8,8,3.2,-99996,0.28396,17,35,-99996,-99996,-99996,-99996,2.79758,-99996,-99996
"BaseSys7or3b CoilHtg-6","HeatPump","New","Electric","BaseAirSys7or3b-6",1,"n/a",58760,56418,"NONE","NONE",0,"Air",1,8,8,3.2,-99996,0.28396,17,35,-99996,-99996,-99996,-99996,2.037,-99996,-99996
"BaseSys7or3b CoilHtg-7","HeatPump","New","Electric","BaseAirSys7or3b-7",1,"n/a",65192.6,62594.1,"NONE","NONE",0,"Air",1,8,8,3.2,-99996,0.28396,17,35,-99996,-99996,-99996,-99996,2.98067,-99996,-99996
"BaseSys7or3b SuppCoilHtg","Resistance","New","Electric","BaseAirSys7or3b",1,"n/a",29210.2,29210.2,"NONE","NONE",0,"UNDEFINED",-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-999,-99996,-99996
"BaseSys7or3b SuppCoilHtg-2","Resistance","New","Electric","BaseAirSys7or3b-2",1,"n/a",35318.5,35318.5,"NONE","NONE",0,"UNDEFINED",-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-999,-99996,-99996
"BaseSys7or3b SuppCoilHtg-3","Resistance","New","Electric","BaseAirSys7or3b-3",1,"n/a",44278.8,44278.8,"NONE","NONE",0,"UNDEFINED",-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-999,-99996,-99996
"BaseSys7or3b SuppCoilHtg-4","Resistance","New","Electric","BaseAirSys7or3b-4",1,"n/a",113554,113554,"NONE","NONE",0,"UNDEFINED",-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-999,-99996,-99996
"BaseSys7or3b SuppCoilHtg-5","Resistance","New","Electric","BaseAirSys7or3b-5",1,"n/a",13801.2,13801.2,"NONE","NONE",0,"UNDEFINED",-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-999,-99996,-99996
"BaseSys7or3b SuppCoilHtg-6","Resistance","New","Electric","BaseAirSys7or3b-6",1,"n/a",48438.3,48438.3,"NONE","NONE",0,"UNDEFINED",-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-999,-99996,-99996
"BaseSys7or3b SuppCoilHtg-7","Resistance","New","Electric","BaseAirSys7or3b-7",1,"n/a",39994.8,39994.8,"NONE","NONE",0,"UNDEFINED",-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-99996,-999,-99996,-99996



Fans
,,,,,Relationships,,,Capacity,,,Power,,,,Motor
Name,Control Method,Status,Class,Cent Type,System,System Qty,Zone,Maximum,Minimum,Efficiency,Modeling Method,Brake HP,Total Static,Power Index,Nameplate HP,Position,Efficiency
,,,,,,(#),,(cfm),(cfm),,,(hp),(inH2O),(W/cfm),( hp)
"BaseSys7or3b SupFan","ConstantVolume","New","Centrifugal","AirFoil","BaseAirSys7or3b",1,"n/a",1171.15,-99996,0.65,"PowerPerUnitFlow",0.833876,2.93676,0.620908,1,"InAirStream",0.855
"BaseSys7or3b SupFan-2","ConstantVolume","New","Centrifugal","AirFoil","BaseAirSys7or3b-2",1,"n/a",1373.45,-99996,0.65,"PowerPerUnitFlow",0.942384,2.83006,0.598348,1,"InAirStream",0.855
"BaseSys7or3b SupFan-3","ConstantVolume","New","Centrifugal","AirFoil","BaseAirSys7or3b-3",1,"n/a",1563.97,-99996,0.65,"PowerPerUnitFlow",1.06363,2.80506,0.586207,1.5,"InAirStream",0.865
"BaseSys7or3b SupFan-4","VariableSpeedDrive","New","Centrifugal","AirFoil","BaseAirSys7or3b-4",1,"n/a",5379.41,2689.71,0.65,"PowerPerUnitFlow",4.06022,3.11312,0.628779,5,"InAirStream",0.895
"BaseSys7or3b SupFan-5","ConstantVolume","New","Centrifugal","AirFoil","BaseAirSys7or3b-5",1,"n/a",637.507,-99996,0.65,"PowerPerUnitFlow",0.460512,2.97946,0.629936,0.5,"InAirStream",0.855
"BaseSys7or3b SupFan-6","ConstantVolume","New","Centrifugal","AirFoil","BaseAirSys7or3b-6",1,"n/a",1649.73,-99996,0.65,"PowerPerUnitFlow",1.1082,2.77067,0.579019,1.5,"InAirStream",0.865
"BaseSys11 SupFan","ConstantVolume","New","Centrifugal","AirFoil","BaseAirSys11",1,"n/a",1010.51,-99996,0.65,"PowerPerUnitFlow",0.672094,2.74328,0.58,0.75,"InAirStream",0.855
"BaseSys7or3b SupFan-7","ConstantVolume","New","Centrifugal","AirFoil","BaseAirSys7or3b-7",1,"n/a",2020.65,-99996,0.65,"PowerPerUnitFlow",1.5504,3.1647,0.661365,2,"InAirStream",0.865



Outside Air Control
