; Tables for Std model AutoHardSize capacity look-up rules
TABLE NR Example - SZVAVDFHP25TrmlUnit
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd
;,,,,,(cfm),(cfm),( cfm)
,"CoreZnSupplyFan 8","ConstantVolume","PSZ CRAC","n/a",1010.390,-99996.000,0.556,"StaticPressure",2.740,0.785,0.800,"InAirStream",0.855,0.6772
,"CoreZnSupplyFan 9","VariableSpeedDrive","SZHPAirSys 7","n/a",2172.760,1086.380,0.650,"PowerPerUnitFlow",3.674,1.935,2.200,"InAirStream",0.895,0.7420
,"Exhaust Fan","ConstantVolume","ZoneSys-Exhaust","UNDEFINED",250.000,-99996.000,0.650,"PowerPerUnitFlow",2.838,0.172,0.300,"InAirStream",0.855,0.6000
ENDTABLE
TABLE NR Example - SZVAVDFHP25OACtrl
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration
;
,"CoreZnOAControl","FixedDryBulb","SZHPAirSys 1","NonIntegrated"
,"CoreZnOAControl 2","FixedDryBulb","SZHPAirSys 2","NonIntegrated"
,"CoreZnOAControl 3","FixedDryBulb","SZHPAirSys 3","NonIntegrated"
,"CoreZnOAControl 4","FixedDryBulb","SZHPAirSys 4","NonIntegrated"
,"CoreZnOAControl 5","NoEconomizer","SZHPAirSys 5","UNDEFINED"
,"CoreZnOAControl 6","FixedDryBulb","SZHPAirSys 6","NonIntegrated"
,"CoreZnOAControl 8","FixedDryBulb","PSZ CRAC","NonIntegrated"
,"CoreZnOAControl 9","FixedDryBulb","SZHPAirSys 7","NonIntegrated"
ENDTABLE
