; Tables for Std model AutoHardSize capacity look-up rules
TABLE NR Example - SZVAVDFHP25TrmlUnit
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd
;,,,,,(cfm),(cfm),( cfm)
;,,,,,(Btu/hr),(Btu/hr),( gpm),
,"BaseSys7or3b CoilHtg","HeatPump","BaseAirSys7or3b","n/a",48282.159,46357.726,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-2","HeatPump","BaseAirSys7or3b-2","n/a",52421.527,50332.107,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-3","HeatPump","BaseAirSys7or3b-3","n/a",53821.212,51676.003,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-4","HeatPump","BaseAirSys7or3b-4","n/a",191767.570,184124.088,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-5","HeatPump","BaseAirSys7or3b-5","n/a",21998.582,21121.762,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-6","HeatPump","BaseAirSys7or3b-6","n/a",59858.845,57472.988,0.00000,-99996.000,-99996.000
,"BaseSys7or3b CoilHtg-7","HeatPump","BaseAirSys7or3b-7","n/a",65858.461,63233.471,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg","Resistance","BaseAirSys7or3b","n/a",29210.188,29210.188,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-2","Resistance","BaseAirSys7or3b-2","n/a",35318.525,35318.525,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-3","Resistance","BaseAirSys7or3b-3","n/a",44278.813,44278.813,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-4","Resistance","BaseAirSys7or3b-4","n/a",113553.762,113553.762,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-5","Resistance","BaseAirSys7or3b-5","n/a",13801.188,13801.188,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-6","Resistance","BaseAirSys7or3b-6","n/a",48438.300,48438.300,0.00000,-99996.000,-99996.000
,"BaseSys7or3b SuppCoilHtg-7","Resistance","BaseAirSys7or3b-7","n/a",39994.775,39994.775,0.00000,-99996.000,-99996.000
ENDTABLE
TABLE NR Example - SZVAVDFHP25Fan
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,(W/cfm)
,"BaseSys7or3b SupFan","ConstantVolume","BaseAirSys7or3b","n/a",1171.154,-99996.000,0.650,"PowerPerUnitFlow",3.551,1.008,1.500,"InAirStream",0.865,0.7420
,"BaseSys7or3b SupFan-2","ConstantVolume","BaseAirSys7or3b-2","n/a",1373.454,-99996.000,0.650,"PowerPerUnitFlow",3.551,1.182,1.500,"InAirStream",0.865,0.7420
,"BaseSys7or3b SupFan-3","ConstantVolume","BaseAirSys7or3b-3","n/a",1563.972,-99996.000,0.650,"PowerPerUnitFlow",3.551,1.346,1.500,"InAirStream",0.865,0.7420
,"BaseSys7or3b SupFan-4","VariableSpeedDrive","BaseAirSys7or3b-4","n/a",5379.414,2689.707,0.650,"PowerPerUnitFlow",3.565,4.649,5.000,"InAirStream",0.895,0.7200
,"BaseSys7or3b SupFan-5","ConstantVolume","BaseAirSys7or3b-5","n/a",637.507,-99996.000,0.650,"PowerPerUnitFlow",3.510,0.542,0.750,"InAirStream",0.855,0.7420
,"BaseSys7or3b SupFan-6","ConstantVolume","BaseAirSys7or3b-6","n/a",1649.731,-99996.000,0.650,"PowerPerUnitFlow",3.551,1.420,1.500,"InAirStream",0.865,0.7420
,"BaseSys11 SupFan","ConstantVolume","BaseAirSys11","n/a",1010.513,-99996.000,0.650,"PowerPerUnitFlow",2.743,0.672,0.750,"InAirStream",0.855,0.5800
,"BaseSys7or3b SupFan-7","ConstantVolume","BaseAirSys7or3b-7","n/a",2020.653,-99996.000,0.650,"PowerPerUnitFlow",3.551,1.739,2.000,"InAirStream",0.865,0.7420
ENDTABLE
TABLE NR Example - SZVAVDFHP25OACtrl
