"E+ Electric Use (kWh) - BEMCmpMgr 2025.2.1.1 (890)",1
"Thu 21-May-26  01:21:59 pm"
"EplusElecUse",Hour
"EplusTotalKWH"
71.4218
52.6861
52.7324
53.1626
53.9863
61.4033
85.6207
93.5716
105.736
114.905
149.321
139.821
128.521
98.2047
106.269
87.509
115.948
132.979
133.991
99.5795
95.9765
102.553
72.8642
61.1712
66.8833
51.7766
50.8614
52.5399
52.7527
58.7613
88.5992
99.4036
121.957
130.346
126.355
134.445
103.809
108.46
111.402
104.257
119.692
142.545
117.733
136.584
141.058
100.991
101.952
69.6195
77.754
57.3494
56.2176
56.7343
72.9191
68.174
61.5641
99.674
109.26
128.194
151.198
135.895
142.758
133.336
120.043
121.217
106.123
138.856
144.804
108.205
120.449
93.9085
90.0127
71.2281
58.1426
56.3601
57.425
75.0374
70.0996
61.7893
74.5639
79.7505
97.6243
107.81
126.885
129.16
134.739
124.993
114.365
108.93
103.826
102.9
133.298
112.517
84.2064
96.804
71.0535
65.1911
53.4917
51.3401
52.4113
54.7178
68.4097
55.2825
91.2415
103.665
120.502
137.891
152.954
131.935
129.695
116.273
118.794
114.347
130.665
127.861
114.821
121.377
138.398
82.9197
86.7443
61.5666
58.4227
60.8673
47.0099
47.2576
46.4312
50.9363
84.5132
95.1539
120.504
125.633
143.028
127.07
136.596
98.303
121.148
115.607
125.052
133.569
117.936
136.554
122.779
105.051
85.2524
61.1193
54.8383
46.934
46.3942
49.5676
58.2541
48.6697
84.2971
94.7247
96.12
125.34
114.529
117.359
107.18
107.22
116.77
109.383
125.374
112.763
122.913
126.984
129.764
82.7929
77.3042
54.8505
50.577
47.8492
62.2868
48.8023
48.4424
47.9461
76.4316
100.105
128.086
121.173
129.028
117.249
124.933
90.9786
107.703
109.609
113.489
117.498
123.618
121.052
127.939
85.2021
79.4789
68.2999
59.2498
48.137
46.3625
48.3786
46.4148
61.555
78.9844
95.9679
120.128
138.232
136.08
133.544
129.514
99.3012
108.571
106.564
132.501
115.338
136.033
122.049
140.55
90.7519
100.231
79.0214
54.5971
49.864
65.0106
52.2921
56.3925
51.3708
78.3643
76.4097
102.523
121.481
147.108
152.677
154.442
123.714
127.099
115.34
129.136
129.277
150.486
118.43
114.801
89.6502
85.6827
69.6434
52.6585
48.3127
46.5208
48.3038
68.8733
49.1924
50.4135
80.5785
72.1126
92.5605
119.001
111.36
133.345
104.977
122.174
105.866
103.325
96.2278
128.99
93.5896
92.1161
88.9716
62.2051
74.204
52.3182
48.4572
46.7939
47.6766
61.5989
50.7568
84.8623
94.3493
110.523
136.865
131.609
131.986
121.503
114.275
115.58
108.791
134.157
123.756
137.372
125.474
134.588
86.9065
95.7771
69.7266
68.1631
47.2199
46.2836
46.615
47.1273
62.1229
68.357
93.5912
114.529
140.403
124.629
127.849
120.778
109.204
122.708
120.756
120.168
125.765
132.269
123.386
123.002
94.459
86.9521
76.9371
53.2331
47.6226
46.8257
47.4653
59.911
46.4107
77.2039
97.5361
113.993
130.275
132.332
123.354
131.621
112.699
127.96
132.338
137.968
133.984
143.321
115.36
119.967
105.908
78.537
76.0605
53.3781
47.0644
46.5196
48.127
47.2877
60.7304
71.7843
98.554
96.2283
130.385
125.135
128.739
129.805
125.01
134.724
129.475
128.215
135.72
121.252
138.127
115.897
94.7
80.9242
58.8709
51.1648
46.5823
59.9439
50.7386
45.7471
50.7439
80.8811
82.8029
111.84
137.576
127.755
127.282
138.359
121.528
127.106
118.827
134.214
138.92
122.459
127.85
129.509
77.2931
88.8683
63.4006
54.9059
55.5571
46.8035
47.1126
51.9566
47.1129
68.132
69.3022
102.634
119.448
159.075
144.599
171.41
148.395
151.06
136.271
136.776
141.369
145.69
120.852
123.863
97.2816
74.5274
56.5768
51.6772
58.6786
47.1891
47.405
52.0483
46.8224
66.6911
81.0761
106.087
119.517
118.521
120.856
121.447
123.534
131.46
111.702
117.794
107.625
109.848
94.4924
80.2966
90.7736
76.2336
58.8466
53.3346
46.7251
45.8801
45.8737
55.5646
51.195
66.109
80.6364
100.246
125.997
107.611
142.917
129.575
104.62
109.07
100.846
121.172
129.805
119.251
88.7899
98.3933
85.874
70.9817
66.7712
48.7798
47.3953
45.2894
46.5684
48.8659
57.1696
75.9318
96.7974
118.178
122.273
135.23
134.399
137.353
124.452
123.882
122.267
139.842
136.419
117.286
139.17
115.006
102.832
79.9097
75.4536
50.1335
