; Tables for Std model AutoHardSize capacity look-up rules
,"ResBaseAirSys_SZHP CoilClg-5","DirectExpansion","ResBaseAirSys_SZHP-5","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-6","DirectExpansion","ResBaseAirSys_SZHP-6","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-7","DirectExpansion","ResBaseAirSys_SZHP-7","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-8","DirectExpansion","ResBaseAirSys_SZHP-8","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-9","DirectExpansion","ResBaseAirSys_SZHP-9","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-10","DirectExpansion","ResBaseAirSys_SZHP-10","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-11","DirectExpansion","ResBaseAirSys_SZHP-11","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-12","DirectExpansion","ResBaseAirSys_SZHP-12","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-13","DirectExpansion","ResBaseAirSys_SZHP-13","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-14","DirectExpansion","ResBaseAirSys_SZHP-14","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-15","DirectExpansion","ResBaseAirSys_SZHP-15","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-16","DirectExpansion","ResBaseAirSys_SZHP-16","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-17","DirectExpansion","ResBaseAirSys_SZHP-17","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-18","DirectExpansion","ResBaseAirSys_SZHP-18","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"ResBaseAirSys_SZHP CoilClg-19","DirectExpansion","ResBaseAirSys_SZHP-19","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
