; Tables for Std model AutoHardSize capacity look-up rules
,"BaseSys7or3b CoilClg-3","DirectExpansion","BaseAirSys7or3b-3","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-4","DirectExpansion","BaseAirSys7or3b-4","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-5","DirectExpansion","BaseAirSys7or3b-5","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-6","DirectExpansion","BaseAirSys7or3b-6","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-7","DirectExpansion","BaseAirSys7or3b-7","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-8","DirectExpansion","BaseAirSys7or3b-8","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-9","DirectExpansion","BaseAirSys7or3b-9","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-10","DirectExpansion","BaseAirSys7or3b-10","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-11","DirectExpansion","BaseAirSys7or3b-11","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-12","DirectExpansion","BaseAirSys7or3b-12","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-13","DirectExpansion","BaseAirSys7or3b-13","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-14","DirectExpansion","BaseAirSys7or3b-14","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-15","DirectExpansion","BaseAirSys7or3b-15","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys11 CoilClg","DirectExpansion","BaseAirSys11","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys11 CoilClg-2","DirectExpansion","BaseAirSys11-2","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-16","DirectExpansion","BaseAirSys7or3b-16","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-17","DirectExpansion","BaseAirSys7or3b-17","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-18","DirectExpansion","BaseAirSys7or3b-18","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
,"BaseSys7or3b CoilClg-19","DirectExpansion","BaseAirSys7or3b-19","n/a",-99996.000,-99996.000,-99996.00000,-99996.000,-99996.000,1
ENDTABLE
TABLE EX06_NR_Class-Lab-DOAS-FPFC25CoilHtg
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,
;,,,,,(Btu/hr),(Btu/hr),( gpm),
