Space Interior Loads Electric Use Report
,,,,,Regulated,,,,Non-Regulated,,,,Non-Regulated,,,,Non-Regulated,,,,Non-Regulated,,,
Space,,,,,Interior Lighting,,,,Interior Lighting,,,,Receptacle,,,,Process,,,,Commercial Refrigeration,,,
Name,Conditioning Type,Space Function,Floor Area,Multiplier,Power Density,Schedule Name,Schedule,Energy Use,Power Density,Schedule Name,Schedule,Energy Use,Power Density,Schedule Name,Schedule,Energy Use,Power Density,Schedule Name,Schedule,Energy Use,Power Density,Schedule Name,Schedule,Energy Use,
,,,(ft2),,(W/ft2),,(FLH),(kWh),(W/ft2),,(FLH),(kWh),(W/ft2),,(FLH),(kWh),(W/ft2),,(FLH),(kWh),(W/ft2),,(FLH),(kWh),
"B1_Changing 1 Space","DirectlyConditioned","Office Area (<=250 square feet)",240.808,1,0.65,"SchoolLights",2045.3,320.141,,,,,1.5,"SchoolReceptacle",2647.7,956.38,,,,,,,,,
"B1_Gym 1 Space","DirectlyConditioned","Classroom, Lecture, Training, Vocational Areas",629.126,1,0.6,"SchoolLights",2045.3,772.051,,,,,1,"SchoolReceptacle",2647.7,1665.74,,,,,,,,,
"RCA_Conference Room 1 Space","DirectlyConditioned","Office Area (<=250 square feet)",790.502,1,0.65,"SchoolLights",2045.3,1050.93,,,,,1.5,"SchoolReceptacle",2647.7,3139.52,,,,,,,,,
"RCA_Conference Room 5 Space","DirectlyConditioned","Office Area (<=250 square feet)",726.492,1,0.65,"SchoolLights",2045.3,965.831,,,,,1.5,"SchoolReceptacle",2647.7,2885.3,,,,,,,,,
"RCA_Conference Room 6 Space","DirectlyConditioned","Office Area (<=250 square feet)",847.94,1,0.65,"SchoolLights",2045.3,1127.29,,,,,1.5,"SchoolReceptacle",2647.7,3367.64,,,,,,,,,
"RCA_Corridor 1 Space","DirectlyConditioned","Corridor Area",823.213,1,0.4,"SchoolLights",2045.3,673.487,,,,,,,,,,,,,,,,,
"RCA_Corridor 10 Space","DirectlyConditioned","Corridor Area",283.484,1,0.4,"SchoolLights",2045.3,231.924,,,,,,,,,,,,,,,,,
"RCA_Corridor 11 Space","DirectlyConditioned","Corridor Area",71.5476,1,0.4,"SchoolLights",2045.3,58.5345,,,,,,,,,,,,,,,,,
"RCA_Corridor 14 Space","DirectlyConditioned","Corridor Area",1172.09,1,0.4,"SchoolLights",2045.3,958.91,,,,,,,,,,,,,,,,,
"RCA_Corridor 16 Space","DirectlyConditioned","Corridor Area",490.944,1,0.4,"SchoolLights",2045.3,401.651,,,,,,,,,,,,,,,,,
"RCA_Corridor 2 Space","DirectlyConditioned","Corridor Area",260.523,1,0.4,"SchoolLights",2045.3,213.139,,,,,,,,,,,,,,,,,
"RCA_Corridor 3 Space","DirectlyConditioned","Corridor Area",1914.65,1,0.4,"SchoolLights",2045.3,1566.41,,,,,,,,,,,,,,,,,
"RCA_Elec Room 1 Space","DirectlyConditioned","Electrical, Mechanical, Telephone Rooms",65.4231,1,0.4,"SchoolLights",2045.3,53.5239,,,,,3,"SchoolReceptacle",2647.7,519.662,,,,,,,,,
"RCA_IT Room 1 Space","DirectlyConditioned","Computer Room",105.034,1,0.5,"DataLights",3062.45,160.831,,,,,20.001,"DataReceptacle",0,0,,,,,,,,,
"RCA_Lobby 1 Space","DirectlyConditioned","Lobby, Main Entry",368.713,1,0.7,"SchoolLights",2045.3,527.89,,,,,0.5,"SchoolReceptacle",2647.7,488.121,,,,,,,,,
"RCA_Open Office 1 Space","DirectlyConditioned","Laboratory, Scientific",785.781,1,0.9,"LabLights",3705.3,2620.4,,,,,2,"LabReceptacle",2409.6,3786.83,,,,,,,,,
"RCA_Open Office 2 Space","DirectlyConditioned","Laboratory, Scientific",595.87,1,0.9,"LabLights",3705.3,1987.09,,,,,2,"LabReceptacle",2409.6,2871.62,,,,,,,,,
"RCA_Restrooms 1 Space","Unconditioned","Restrooms",654.061,1,0.65,"SchoolLights",2045.3,869.539,,,,,,,,,,,,,,,,,
"RCA_Store 4 Space","DirectlyConditioned","Storage, General",107.168,1,0.4,"SchoolLights",2045.3,87.6767,,,,,0.2,"SchoolReceptacle",2647.7,56.75,,,,,,,,,
"RCA_Store 5 Space","DirectlyConditioned","Storage, General",339.719,1,0.4,"SchoolLights",2045.3,277.931,,,,,0.2,"SchoolReceptacle",2647.7,179.895,,,,,,,,,
"RCA_Open Office 3 Space","DirectlyConditioned","Laboratory, Scientific",2028.56,1,0.9,"LabLights",3705.3,6764.77,,,,,2,"LabReceptacle",2409.6,9776.02,,,,,,,,,
