,,,,,,,,,,,,Aged Thermal Emittance,,ThrmlAbs,,Aged Solar Reflectance,,SolAbs,
Name,Status,Name,Occupancy Classification,Conditioning Status,Assigned Occ Class (Ref),Area,Tilt,Slope Category,Cons Name,Construction Type,U-Factor,Roof,Cons,Roof,Cons,Roof,Cons,Roof,Cons
,,,,,,(ft2),(deg),,,,(Btu/h-?F-ft2),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),
"RCA_Corridor 16_1_454","New","RCA_Corridor 16 Space","Nonresidential","DirectlyConditioned","NonResidential",120.44,104.997,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 2_1_120","New","RCA_Corridor 2 Space","Nonresidential","DirectlyConditioned","NonResidential",91.58,15.0005,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,16.62
"RCA_Elec Room 1_1_499","New","RCA_Elec Room 1 Space","Nonresidential","DirectlyConditioned","NonResidential",101.16,104.999,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Elec Room 1_1_500","New","RCA_Elec Room 1 Space","Nonresidential","DirectlyConditioned","NonResidential",110.70,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Lobby 1_1_330","New","RCA_Lobby 1 Space","Nonresidential","DirectlyConditioned","NonResidential",66.42,105,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Lobby 1_1_331","New","RCA_Lobby 1 Space","Nonresidential","DirectlyConditioned","NonResidential",18.65,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Lobby 1_1_332","New","RCA_Lobby 1 Space","Nonresidential","DirectlyConditioned","NonResidential",139.83,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,86.89
"RCA_Lobby 1_1_333","New","RCA_Lobby 1 Space","Nonresidential","DirectlyConditioned","NonResidential",55.55,285,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,31.06
"RCA_Lobby 1_1_334","New","RCA_Lobby 1 Space","Nonresidential","DirectlyConditioned","NonResidential",194.26,285,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,22.00
"RCA_Lobby 1_1_339","New","RCA_Lobby 1 Space","Nonresidential","DirectlyConditioned","NonResidential",128.27,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,85.21
"RCA_Open Office 1_1_67","New","RCA_Open Office 1 Space","Nonresidential","DirectlyConditioned","NonResidential",685.37,285,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,202.67
"RCA_Open Office 2_1_74","New","RCA_Open Office 2 Space","Nonresidential","DirectlyConditioned","NonResidential",580.31,15,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,66.66
"RCA_Restrooms 1_1_492","New","RCA_Restrooms 1 Space","Nonresidential","Unconditioned","NonResidential",130.36,14.9998,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Store 4_1_357","New","RCA_Store 4 Space","Nonresidential","DirectlyConditioned","NonResidential",129.82,285,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Store 4_1_358","New","RCA_Store 4 Space","Nonresidential","DirectlyConditioned","NonResidential",9.40,15.0033,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Store 4_1_359","New","RCA_Store 4 Space","Nonresidential","DirectlyConditioned","NonResidential",131.90,14.9999,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,20.50
"RCA_Store 5_1_365","New","RCA_Store 5 Space","Nonresidential","DirectlyConditioned","NonResidential",156.35,14.9998,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,13.31
"RCA_Store 5_1_366","New","RCA_Store 5 Space","Nonresidential","DirectlyConditioned","NonResidential",48.44,104.996,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"B1_Reception 1_1_206","New","B1_Reception 1 Space","Nonresidential","DirectlyConditioned","NonResidential",126.57,104.997,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"Class Room 1_1_286","New","Class Room 1 Space","Nonresidential","DirectlyConditioned","NonResidential",46.62,285,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"Class Room 1_1_288","New","Class Room 1 Space","Nonresidential","DirectlyConditioned","NonResidential",80.30,104.996,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"Collaboration Space 1_1_219","New","Collaboration Space 1 Space","Nonresidential","DirectlyConditioned","NonResidential",408.69,15.0001,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,268.83
"Collaboration Space 1_1_220","New","Collaboration Space 1 Space","Nonresidential","DirectlyConditioned","NonResidential",13.90,104.966,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"Huddle 1_1_21","New","Huddle 1 Space","Nonresidential","DirectlyConditioned","NonResidential",164.57,285,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"Huddle 1_1_22","New","Huddle 1 Space","Nonresidential","DirectlyConditioned","NonResidential",323.57,14.9999,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,26.62
"Huddle 2_1_237","New","Huddle 2 Space","Nonresidential","DirectlyConditioned","NonResidential",147.06,104.999,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"Huddle 2_1_238","New","Huddle 2 Space","Nonresidential","DirectlyConditioned","NonResidential",158.12,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"Huddle 2_1_244","New","Huddle 2 Space","Nonresidential","DirectlyConditioned","NonResidential",158.12,14.9996,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,45.62
"Huddle 2_1_245","New","Huddle 2 Space","Nonresidential","DirectlyConditioned","NonResidential",202.47,105.004,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Conference Room 2_1_29","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",135.84,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,86.90
"RCA_Conference Room 2_1_33","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",165.58,105,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Conference Room 2_1_34","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",81.27,195.001,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Conference Room 2_1_35","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",220.55,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,145.89
"RCA_Conference Room 2_1_40","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",67.42,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,41.72
"RCA_Conference Room 2_1_41","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",75.90,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Conference Room 2_1_42","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",32.05,284.999,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Conference Room 2_1_49","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",135.44,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,86.62
"RCA_Conference Room 4_1_323","New","RCA_Conference Room 4 Space","Nonresidential","DirectlyConditioned","NonResidential",268.49,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,211.75
"RCA_Conference Room 4_1_324","New","RCA_Conference Room 4 Space","Nonresidential","DirectlyConditioned","NonResidential",90.52,285,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Conference Room 4_1_325","New","RCA_Conference Room 4 Space","Nonresidential","DirectlyConditioned","NonResidential",111.33,285,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,22.00
"RCA_Corridor 5_1_170","New","RCA_Corridor 5 Space","Nonresidential","DirectlyConditioned","NonResidential",85.75,15.0005,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,13.31
"RCA_Corridor 6_1_180","New","RCA_Corridor 6 Space","Nonresidential","DirectlyConditioned","NonResidential",80.30,284.996,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 6_1_181","New","RCA_Corridor 6 Space","Nonresidential","DirectlyConditioned","NonResidential",72.63,195.001,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 6_1_183","New","RCA_Corridor 6 Space","Nonresidential","DirectlyConditioned","NonResidential",8.04,285,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 7_1_195","New","RCA_Corridor 7 Space","Nonresidential","DirectlyConditioned","NonResidential",20.66,195.004,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 7_1_196","New","RCA_Corridor 7 Space","Nonresidential","DirectlyConditioned","NonResidential",270.19,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,173.85
"RCA_Corridor 7_1_197","New","RCA_Corridor 7 Space","Nonresidential","DirectlyConditioned","NonResidential",557.57,195,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,326.91
"RCA_Corridor 7_1_198","New","RCA_Corridor 7 Space","Nonresidential","DirectlyConditioned","NonResidential",10.74,285,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 8_1_304","New","RCA_Corridor 8 Space","Nonresidential","DirectlyConditioned","NonResidential",158.12,14.9996,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 8_1_305","New","RCA_Corridor 8 Space","Nonresidential","DirectlyConditioned","NonResidential",206.66,105,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 9_1_314","New","RCA_Corridor 9 Space","Nonresidential","DirectlyConditioned","NonResidential",515.47,105,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Corridor 9_1_315","New","RCA_Corridor 9 Space","Nonresidential","DirectlyConditioned","NonResidential",246.98,194.999,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,158.83
"RCA_Corridor 9_1_316","New","RCA_Corridor 9 Space","Nonresidential","DirectlyConditioned","NonResidential",151.87,285.002,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Kitchen Break Room 1_1_232","New","RCA_Kitchen Break Room 1 Space","Nonresidential","DirectlyConditioned","NonResidential",195.78,15.0008,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,114.72
"RCA_Open Office 4_1_93","New","RCA_Open Office 4 Space","Nonresidential","DirectlyConditioned","NonResidential",757.06,285,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,402.51
"RCA_Open Office 5_1_100","New","RCA_Open Office 5 Space","Nonresidential","DirectlyConditioned","NonResidential",429.21,15,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,53.25
"RCA_Restrooms 2_1_58","New","RCA_Restrooms 2 Space","Nonresidential","Unconditioned","NonResidential",13.18,285,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Restrooms 2_1_59","New","RCA_Restrooms 2 Space","Nonresidential","Unconditioned","NonResidential",37.09,285.001,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Restrooms 2_1_60","New","RCA_Restrooms 2 Space","Nonresidential","Unconditioned","NonResidential",137.00,14.9998,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Restrooms 2_1_61","New","RCA_Restrooms 2 Space","Nonresidential","Unconditioned","NonResidential",20.21,15.008,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Restrooms 2_1_62","New","RCA_Restrooms 2 Space","Nonresidential","Unconditioned","NonResidential",175.59,14.9989,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,113.52
"RCA_Store 1_1_251","New","RCA_Store 1 Space","Nonresidential","DirectlyConditioned","NonResidential",146.39,14.9998,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,13.31
"RCA_Store 1_1_252","New","RCA_Store 1 Space","Nonresidential","DirectlyConditioned","NonResidential",45.35,104.996,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00
"RCA_Store 3_1_281","New","RCA_Store 3 Space","Nonresidential","DirectlyConditioned","NonResidential",72.63,15.0013,"Base_CZ12-NonresMetalFrameWallU055","MetalFrameWall",0.055,0.00



Exterior Floor
,,Space
Name,Status,Name,Occupancy Classification,Conditioning Status,Building Type,Area,Cons Name,Construction Type,U Factor
,,,,,,(ft2),,,(Btu/h-?F-ft2)
"Collaboration Space 1_1_214","New","Collaboration Space 1 Space","Nonresidential","DirectlyConditioned","NonResidential",7.71,"Base_CZ12-NonresOtherFloorU071","OtherFloor",0.055,
"RCA_Conference Room 4_1_319","New","RCA_Conference Room 4 Space","Nonresidential","DirectlyConditioned","NonResidential",24.12,"Base_CZ12-NonresOtherFloorU071","OtherFloor",0.055,



Underground Floor
,,Space
Name,Status,Name,Occupancy Classification,Conditioning Status,Slab Type,Area,Exposed Perimeter,Cons Name,Slab Insulation Orientation,Overall 'F' Factor
,,,,,(Heated/Unheated),(ft2),(ft),,,(Btu/h-?F-ft2)
"B1_Changing 1_1_406","New","B1_Changing 1 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",240.81,0.00,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"B1_Gym 1_1_390","New","B1_Gym 1 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",629.13,44.50,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Conference Room 1_1_0","New","RCA_Conference Room 1 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",790.50,63.56,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Conference Room 5_1_413","New","RCA_Conference Room 5 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",726.49,57.59,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Conference Room 6_1_456","New","RCA_Conference Room 6 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",660.15,0.00,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Conference Room 6_1_462","New","RCA_Conference Room 6 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",187.79,0.00,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Corridor 1_1_503","New","RCA_Corridor 1 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",823.21,0.00,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Corridor 10_1_341","New","RCA_Corridor 10 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",283.48,24.79,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Corridor 11_1_375","New","RCA_Corridor 11 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",71.55,14.49,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Corridor 14_1_428","New","RCA_Corridor 14 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",1172.09,96.25,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Corridor 16_1_439","New","RCA_Corridor 16 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",490.94,49.06,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Corridor 2_1_114","New","RCA_Corridor 2 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",260.52,7.00,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Corridor 3_1_131","New","RCA_Corridor 3 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",1914.65,0.00,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Elec Room 1_1_497","New","RCA_Elec Room 1 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",65.42,16.19,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_IT Room 1_1_255","New","RCA_IT Room 1 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",105.03,0.00,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Lobby 1_1_328","New","RCA_Lobby 1 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",368.71,46.09,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Open Office 1_1_64","New","RCA_Open Office 1 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",785.78,52.39,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Open Office 2_1_70","New","RCA_Open Office 2 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",595.87,44.35,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Restrooms 1_1_486","New","RCA_Restrooms 1 Space","Nonresidential","Unconditioned","UnheatedSlab",654.06,9.96,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Store 4_1_355","New","RCA_Store 4 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",107.17,20.72,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Store 5_1_362","New","RCA_Store 5 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",339.72,15.65,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Open Office 3_1_77","New","RCA_Open Office 3 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",2028.56,0.00,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Open Office 7_1_473","New","RCA_Open Office 7 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",1122.03,0.00,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Open Office 7_1_478","New","RCA_Open Office 7 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",133.30,0.00,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Open Office 7_1_482","New","RCA_Open Office 7 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",30.85,0.00,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730
"RCA_Store 7_1_467","New","RCA_Store 7 Space","Nonresidential","DirectlyConditioned","UnheatedSlab",197.93,0.00,"Base_CZ12-SlabOnOrBelowGradeF073","None",0.730



Window
,,,,Exterior Wall,Window
Name,Status,Occupancy Classification,Conditioning Status,Name,Area,Azimuth,Product Type,Cert Method,Cons Name,Frame Type,Glazing Type,U Factor,SHGC,Visual Transmittance, U Factor Simulated,Inside Convection Coefficient
,,,,,(ft2),(Deg),,,,,,(Btu/h-?F-ft2),,,(Btu/h-?F-ft2),(Btu/h-?F-ft2)
"B1_Gym 1_2_0_1","New","Nonresidential","DirectlyConditioned","B1_Gym 1_1_386",114.29,14.9993,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"B1_Gym 1_2_0_9","New","Nonresidential","DirectlyConditioned","B1_Gym 1_1_392",64.20,15.0012,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"B1_Gym 1_2_0_13","New","Nonresidential","DirectlyConditioned","B1_Gym 1_1_394",60.86,15.0009,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"B1_Gym 1_2_0_17","New","Nonresidential","DirectlyConditioned","B1_Gym 1_1_396",28.72,15.0001,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Conference Room 1_2_0_16","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 1_1_11",97.80,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Conference Room 1_2_0_8","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 1_1_7",93.38,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Conference Room 1_2_0_12","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 1_1_9",102.13,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Conference Room 5_2_0_6","New","Nonresidential","DirectlyConditioned","RCA_Conference Room 5_1_418",405.43,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 10_2_0_4","New","Nonresidential","DirectlyConditioned","RCA_Corridor 10_1_344",20.50,15.0002,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 10_2_0_6","New","Nonresidential","DirectlyConditioned","RCA_Corridor 10_1_344",9.68,15.0002,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 10_2_0_12","New","Nonresidential","DirectlyConditioned","RCA_Corridor 10_1_348",42.22,285,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 11_2_0_9","New","Nonresidential","DirectlyConditioned","RCA_Corridor 11_1_383",25.15,15.0033,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 11_2_0_12","New","Nonresidential","DirectlyConditioned","RCA_Corridor 11_1_384",48.74,14.9993,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 14_2_0_10","New","Nonresidential","DirectlyConditioned","RCA_Corridor 14_1_431",66.44,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 14_2_0_14","New","Nonresidential","DirectlyConditioned","RCA_Corridor 14_1_433",60.55,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 16_2_0_9","New","Nonresidential","DirectlyConditioned","RCA_Corridor 16_1_447",27.42,14.9988,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 16_2_0_12","New","Nonresidential","DirectlyConditioned","RCA_Corridor 16_1_448",22.85,15.0022,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 2_2_0_7","New","Nonresidential","DirectlyConditioned","RCA_Corridor 2_1_120",13.31,15.0005,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Corridor 2_2_0_9","New","Nonresidential","DirectlyConditioned","RCA_Corridor 2_1_120",3.31,15.0005,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34_Clerestory","- specify -","- specify -",0.340,0.220,0.001,0.34000,-99996.00000
"RCA_Lobby 1_2_0_5","New","Nonresidential","DirectlyConditioned","RCA_Lobby 1_1_332",86.89,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Lobby 1_2_0_8","New","Nonresidential","DirectlyConditioned","RCA_Lobby 1_1_333",31.06,285,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Lobby 1_2_0_11","New","Nonresidential","DirectlyConditioned","RCA_Lobby 1_1_334",22.00,285,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Lobby 1_2_0_18","New","Nonresidential","DirectlyConditioned","RCA_Lobby 1_1_339",85.21,195,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Open Office 1_2_0_4","New","Nonresidential","DirectlyConditioned","RCA_Open Office 1_1_67",67.56,285,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Open Office 1_2_0_6","New","Nonresidential","DirectlyConditioned","RCA_Open Office 1_1_67",67.56,285,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Open Office 1_2_0_8","New","Nonresidential","DirectlyConditioned","RCA_Open Office 1_1_67",67.56,285,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Open Office 2_2_0_11","New","Nonresidential","DirectlyConditioned","RCA_Open Office 2_1_74",13.31,15,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Open Office 2_2_0_13","New","Nonresidential","DirectlyConditioned","RCA_Open Office 2_1_74",10.11,15,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Open Office 2_2_0_15","New","Nonresidential","DirectlyConditioned","RCA_Open Office 2_1_74",3.31,15,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34_Clerestory","- specify -","- specify -",0.340,0.220,0.001,0.34000,-99996.00000
"RCA_Open Office 2_2_0_5","New","Nonresidential","DirectlyConditioned","RCA_Open Office 2_1_74",13.31,15,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Open Office 2_2_0_7","New","Nonresidential","DirectlyConditioned","RCA_Open Office 2_1_74",13.31,15,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Open Office 2_2_0_9","New","Nonresidential","DirectlyConditioned","RCA_Open Office 2_1_74",13.31,15,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
"RCA_Store 4_2_0_5","New","Nonresidential","DirectlyConditioned","RCA_Store 4_1_359",20.50,14.9999,"FixedWindow","NFRCRated","Base_AllCZ_FixedWindowU34","- specify -","- specify -",0.340,0.220,0.420,0.34000,-99996.00000
