,,,,,,,,,,,,Aged Thermal Emittance,,ThrmlAbs,,Aged Solar Reflectance,,SolAbs,
Name,Status,Name,Occupancy Classification,Conditioning Status,Assigned Occ Class (Ref),Area,Tilt,Slope Category,Cons Name,Construction Type,U-Factor,Roof,Cons,Roof,Cons,Roof,Cons,Roof,Cons
,,,,,,(ft2),(deg),,,,(Btu/h-?F-ft2),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),
"Huddle 1_1_17","New","Huddle 1 Space","Nonresidential","DirectlyConditioned","NonResidential",19.68,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"Huddle 1_1_25","New","Huddle 1 Space","Nonresidential","DirectlyConditioned","NonResidential",335.17,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"Huddle 2_1_235","New","Huddle 2 Space","Nonresidential","DirectlyConditioned","NonResidential",5.35,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"Huddle 2_1_240","New","Huddle 2 Space","Nonresidential","DirectlyConditioned","NonResidential",117.64,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"Huddle 2_1_242","New","Huddle 2 Space","Nonresidential","DirectlyConditioned","NonResidential",7.36,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"Huddle 2_1_246","New","Huddle 2 Space","Nonresidential","DirectlyConditioned","NonResidential",161.96,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Conference Room 2_1_27","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",5.54,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Conference Room 2_1_30","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",144.34,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Conference Room 2_1_32","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",12.32,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Conference Room 2_1_37","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",320.71,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Conference Room 2_1_39","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",5.85,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Conference Room 2_1_45","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",152.29,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Conference Room 2_1_47","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",5.53,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
"RCA_Conference Room 2_1_50","New","RCA_Conference Room 2 Space","Nonresidential","DirectlyConditioned","NonResidential",143.92,0,"Low","Base_CZ12-FlatNonresWoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.028,0.75,0.75,0.75,0.75,0.63,0.63,0.37,0.37
