FluidSystems
,,,,,Controls,,,,,,Supply Side Components,,,Demand Side Components,,,
Name,Type,Status,Design SupplyT,Design DelT,TempCtrl,FixedT,Supply HiT,At Outdoor,Supply LowT,At OutdoorT,Num Comps,Total Capacity,Flow Rate,Num Comps,Total Capacity,Sensible Capacity,Flow Rate,
,,,(degF),(degF),,(degF),(degF),(degF),(degF),(degF),,(Btu/hr),(gpm),,(Btu/hr),(Btu/hr),( gpm),
"BaseHWSystem","HotWater","New",130,25,"Fixed",130,-99996,-99996,-99996,-99996,2,311760,24.9314,8,0,0,0


Boiler
Name,Fluid System Name,Status,Type,Fuel,Draft Type,Rated Capacity,AFUE,Thermal Efficiency,Forced Draft Power,Minimum Unload Ratio
,,,,,,(Btu/h),,,hp
"Base Blr","BaseHWSystem","New","HotWater","Gas","MechanicalNoncondensing",155880,0.82,0.8225,0.124704,0.25
"Base Blr-2","BaseHWSystem","New","HotWater","Gas","MechanicalNoncondensing",155880,0.82,0.8225,0.124704,0.25


Pump
Name,Serving Equipment,Status,Count,Operation,Speed Type,Design Flow Rate,Nameplate HP,Power,Power Per Flow,Break Horse Power,Head,Motor Efficiency,Impeller Efficiency,Minimum Flow Rate
,,,,,,(gpm),(hp),(kW),(W/gpm),(bhp),(ft. H20),,,(gpm)
"Base HW Pump","Base Blr","New",1,"OnDemand","VariableSpeed",12.4657,0.5,0.236848,19,0.2716,60.3958,0.855,0.7
"Base HW Pump-2","Base Blr-2","New",1,"OnDemand","VariableSpeed",12.4657,0.5,0.236848,19,0.2716,60.3958,0.855,0.7
