,,,,Nonres Site Electric Use,,,,,,,,,,,,,Nonres Site Natural Gas Use,,,,,,,,,,,,,Nonres Site Propane Use,,,,,,,,,,,,,Nonres LSC Multipliers,,,Nonres Source Energy Multipliers,,,Nonres CO2 Emissions Multipliers,,,Nonres Elec Demand,Building Wide,,PV/Batt Mults (Res/NRes area weighted avg),,,,Residential Site Electric Use,,,,,,,,,,,,,Residential Site Natural Gas Use,,,,,,,,,,,,,Residential Site Propane Use,,,,,,,,,,,,,Res LSC Multipliers,,,Res Source Energy Multipliers,,,Res CO2 Emissions Multipliers,,,Res Elec Demand,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,LSC,Source Energy,CO2 Emis,Elec Demand,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),($/kWh),(kBtu/kWh),(tonnes CO2-e/kWh),(frac),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),
1,1,9, 01/01 09,0.00532945,0,1.54645,0,0.36533,1.2189,1.50171,1.7613,0,0,0,4.63772,6.39902,178.159,0,0,0,0,0,0,0,0,0,0,178.159,178.159,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68693,626.966,894.518,2.68137,89.9626,100,0.000141871,0.0054633,0.006288,0,-87.3732,0,6.59324,2.68137,0.000141871,0,2.47352,0,6.13756,0,1.76351,40.5113,7.8023,15.747,25.137,2.52836,7.32383,58.6882,109.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76122,1269.81,1106.78,2.68137,89.9626,100,0.000141871,0.0060051,0.006288,0,
1,1,10, 01/01 10,0.0035821,0,1.22537,0,0.36533,1.56476,1.53498,1.7613,0,0,0,4.69402,6.45532,128.53,0,0,0,0,0,0,0,0,0,0,128.53,128.53,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68395,626.966,894.518,2.3791,89.9626,100,0.000125878,0.0054633,0.006288,0,-134.107,0,6.59033,2.3791,0.000125878,0,1.56132,0,6.0692,0,0.044512,37.1693,7.8023,15.1699,38.5022,2.15654,7.32383,52.6467,115.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75832,1269.81,1106.78,2.3791,89.9626,100,0.000125878,0.0060051,0.006288,0,
1,1,11, 01/01 11,0.00149446,0,1.22537,0,0.36533,2.75273,6.15297,7.0452,0,0,0,10.4979,17.5431,54.2507,0,0,0,0,0,0,0,0,0,0,54.2507,54.2507,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68678,626.966,894.518,2.83208,89.9626,100,0.000149846,0.0054633,0.006288,0,-163.31,27.6782,6.5931,2.83208,0.000149846,0,0.876381,0,6.03602,0,0,17.6651,7.93725,15.4705,60.8047,2.00781,7.32383,32.5147,118.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76108,1269.81,1106.78,2.83208,89.9626,100,0.000149846,0.0060051,0.006288,0,
1,1,12, 01/01 12,0.000708001,0,1.22537,0,0.36533,3.25843,6.16232,7.0452,0,0,0,11.0122,18.0574,25.7013,0,0,0,0,0,0,0,0,0,0,25.7013,25.7013,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69432,626.966,894.518,2.70532,89.9626,100,0.000143139,0.0054633,0.006288,0,-174.226,35.4709,6.60047,2.70532,0.000143139,0,0.473963,0,6.01842,0,0,30.8159,7.93725,15.2361,51.0675,1.85908,7.32383,45.2456,120.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76842,1269.81,1106.78,2.70532,89.9626,100,0.000143139,0.0060051,0.006288,0,
1,1,13, 01/01 13,0.000408819,0,1.22537,0,0.36533,3.57472,8.35248,10.5678,0,0,0,13.5183,24.0861,14.8406,0,0,0,0,0,0,0,0,0,0,14.8406,14.8406,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69056,626.966,894.518,2.82681,89.9626,100,0.000149566,0.0054633,0.006288,0,-169.427,38.3604,6.59679,2.82681,0.000149566,0,0.213278,0,6.01513,0,0,27.6752,8.17118,15.5726,40.4795,1.56163,7.32383,42.0748,107.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76476,1269.81,1106.78,2.82681,89.9626,100,0.000149566,0.0060051,0.006288,0,
1,1,14, 01/01 14,0.000144388,0,1.2329,0,0.273998,3.57514,8.20336,10.5678,0,0,0,13.2855,23.8533,5.24145,0,0,0,0,0,0,0,0,0,0,5.24145,5.24145,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69101,626.966,894.518,2.88089,89.9626,100,0.000152428,0.0054633,0.006288,0,-103.905,4.71619,6.59724,2.88089,0.000152428,0,0.0984961,0,6.00755,0,0,5.00282,8.17118,16.0116,31.1824,1.56163,7.32383,19.28,75.3594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7652,1269.81,1106.78,2.88089,89.9626,100,0.000152428,0.0060051,0.006288,0,
1,1,15, 01/01 15,0,0,1.26905,0,0,3.44145,8.32097,10.5678,0,0,0,13.0315,23.5993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69114,626.966,894.518,2.92757,89.9626,100,0.000154898,0.0054633,0.006288,0,-85.1941,0,6.59736,2.92757,0.000154898,0,0.0481569,0,6.00565,0,0,18.4451,8.17118,16.7368,19.4802,1.56163,7.32383,32.6701,77.7726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76532,1269.81,1106.78,2.92757,89.9626,100,0.000154898,0.0060051,0.006288,0,
1,1,16, 01/01 16,3.30491e-06,0,1.3039,0,0.0913325,3.50705,8.23629,10.5678,0,0,0,13.1386,23.7064,0.119972,0,0,0,0,0,0,0,0,0,0,0.119972,0.119972,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99593,626.966,894.518,3.29537,89.9626,100,0.000174358,0.0054633,0.006288,0,-52.1162,0,6.89562,3.29537,0.000174358,0,0.0703546,0,6.00562,0,0,19.2211,8.17118,17.5396,16.3275,1.93345,7.32383,33.4682,76.5926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06237,1269.81,1106.78,3.29537,89.9626,100,0.000174358,0.0060051,0.006288,0,
1,1,17, 01/01 17,0.000396817,0,1.28644,0,0.36533,3.65836,9.10096,10.5678,0,0,0,14.4115,24.9793,14.4049,0,0,0,0,0,0,0,0,0,0,14.4049,14.4049,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29891,626.966,894.518,3.86875,89.9626,100,0.000204695,0.0054633,0.006288,0,-6.33147,0,7.1921,3.86875,0.000204695,0,0.192759,0,6.0071,0,0,6.54532,8.17118,19.5349,29.4446,2.30527,7.32383,20.9164,79.5249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35764,1269.81,1106.78,3.86875,89.9626,100,0.000204695,0.0060051,0.006288,0,
1,1,18, 01/01 18,0.00119766,0,1.22537,0,0.36533,3.43089,6.69294,7.0452,0,0,0,11.7157,18.7609,43.4765,0,0,0,0,0,0,0,0,0,0,43.4765,43.4765,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35179,626.966,894.518,3.94448,89.9626,100,0.000208702,0.0054633,0.006288,0,0,0,7.24384,3.94448,0.000208702,0,0.385433,0,6.01496,0,0,22.9537,8.10371,21.7804,37.8058,3.27199,7.32383,37.4578,107.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40918,1269.81,1106.78,3.94448,89.9626,100,0.000208702,0.0060051,0.006288,0,
1,1,19, 01/01 19,0.00171527,0,1.22537,0,0.36533,2.57673,3.34647,3.5226,0,0,0,7.51562,11.0382,62.2665,0,0,0,0,0,0,0,0,0,0,62.2665,62.2665,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46029,626.966,894.518,4.16914,89.9626,100,0.000220589,0.0054633,0.006288,0,0,-65.0243,7.35001,4.16914,0.000220589,0,0.620923,0,6.02991,0,0.0197342,34.501,8.01373,23.3922,40.7055,6.24653,7.32383,49.1853,126.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51492,1269.81,1106.78,4.16914,89.9626,100,0.000220589,0.0060051,0.006288,0,
1,1,20, 01/01 20,0,0,0,0,0,2.66171,0.836618,0.88065,0,0,0,3.49833,4.37898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55135,626.966,894.518,4.37739,89.9626,100,0.000231608,0.0054633,0.006288,0,0,-30.8444,7.43912,4.37739,0.000231608,0,0.820939,0,6.03748,0,0.109725,19.7651,7.94625,24.3097,23.7758,8.70052,7.32383,34.6795,98.7894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60367,1269.81,1106.78,4.37739,89.9626,100,0.000231608,0.0060051,0.006288,0,
1,1,21, 01/01 21,0,0,0,0,0,2.15806,0.836618,0.88065,0,0,0,2.99468,3.87533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54047,626.966,894.518,4.33943,89.9626,100,0.000229599,0.0054633,0.006288,0,0,0,7.42848,4.33943,0.000229599,0,0.890064,0,6.04493,0,0.109725,24.7905,7.94625,25.2048,13.0983,8.40306,7.32383,39.7815,93.8115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59307,1269.81,1106.78,4.33943,89.9626,100,0.000229599,0.0060051,0.006288,0,
1,1,22, 01/01 22,0,0,0,0,0,1.63449,0.836618,0.88065,0,0,0,2.4711,3.35175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64531,626.966,894.518,4.51762,89.9626,100,0.000239027,0.0054633,0.006288,0,0,0,7.53107,4.51762,0.000239027,0,0.94247,0,6.05336,0,0,17.4471,7.94625,24.9313,12.5991,7.13889,7.32383,32.3892,84.3824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69524,1269.81,1106.78,4.51762,89.9626,100,0.000239027,0.0060051,0.006288,0,
1,1,23, 01/01 23,0,0,0,0,0,1.09269,0.836618,0.88065,0,0,0,1.92931,2.80996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34658,626.966,894.518,4.52964,89.9626,100,0.000239663,0.0054633,0.006288,0.000277533,0,0,8.2173,4.52964,0.000239663,0.000277533,1.22281,0,6.07355,0,0.0157817,13.6752,7.61334,21.6667,16.2894,4.68489,7.32383,28.6007,78.5656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37868,1269.81,1106.78,4.52964,89.9626,100,0.000239663,0.0060051,0.006288,0.000277533,
1,1,24, 01/01 24,0,0,0,0,0,0.564484,0.836618,0.88065,0,0,0,1.4011,2.28175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44597,626.966,894.518,4.53692,89.9626,100,0.000240048,0.0054633,0.006288,0.000718441,0,0,9.2931,4.53692,0.000240048,0.000718441,1.7409,0,6.10499,0,0.0922988,0.448722,7.61334,18.3873,13.1071,2.90017,7.32383,16.0003,57.7187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45012,1269.81,1106.78,4.53692,89.9626,100,0.000240048,0.0060051,0.006288,0.000718441,
1,2,1, 01/02 01,0,0,0,0,0,0.526521,0.836618,0.88065,0,0,0,1.36314,2.24379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5414,626.966,894.518,8.44344,89.9626,100,0.000446742,0.0054633,0.006288,0.000518385,0,0,11.3436,8.44344,0.000446742,0.000518385,2.19079,0,6.12951,0,1.77663,2.32705,7.61334,15.0007,5.33106,1.71036,7.32383,20.0373,49.4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4923,1269.81,1106.78,8.44344,89.9626,100,0.000446742,0.0060051,0.006288,0.000518385,
1,2,2, 01/02 02,0,0,0,0,0,0.303624,0.836618,0.88065,0,0,0,1.14024,2.02089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59457,626.966,894.518,8.43068,89.9626,100,0.000446067,0.0054633,0.006288,0.000175212,0,0,10.4171,8.43068,0.000446067,0.000175212,2.35521,0,6.14005,0,1.77044,3.0009,7.61334,13.6979,4.92387,1.4129,7.32383,20.8799,48.2385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5695,1269.81,1106.78,8.43068,89.9626,100,0.000446067,0.0060051,0.006288,0.000175212,
1,2,3, 01/02 03,0,0,0,0,0,0.55768,0.836618,0.88065,0,0,0,1.3943,2.27495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17595,626.966,894.518,8.07648,89.9626,100,0.000427327,0.0054633,0.006288,0.000173941,0,0,10.0074,8.07648,0.000427327,0.000173941,2.60337,0,6.16244,0,1.75765,16.9428,7.61334,13.1815,5.35032,1.11545,7.32383,35.0796,62.0507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1615,1269.81,1106.78,8.07648,89.9626,100,0.000427327,0.0060051,0.006288,0.000173941,
1,2,4, 01/02 04,0,0,0,0,0,0.55096,0.836618,0.88065,0,0,0,1.38758,2.26823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84334,626.966,894.518,5.75461,89.9626,100,0.000304476,0.0054633,0.006288,0.000305397,0,0,8.7034,5.75461,0.000304476,0.000305397,3.19461,0,6.22241,0,1.75037,3.52338,7.61334,13.1041,5.32019,1.26418,7.32383,22.3041,49.3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86281,1269.81,1106.78,5.75461,89.9626,100,0.000304476,0.0060051,0.006288,0.000305397,
1,2,5, 01/02 05,0,0,0,0,0,0.275519,0.836618,0.88065,0,0,0,1.11214,1.99279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44165,626.966,894.518,4.70149,89.9626,100,0.000248756,0.0054633,0.006288,0.000305397,0,0,8.31033,4.70149,0.000248756,0.000305397,3.51468,0,6.26646,0,1.73826,4.01325,7.61334,12.496,5.33607,1.56163,7.32383,23.146,49.8635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47133,1269.81,1106.78,4.70149,89.9626,100,0.000248756,0.0060051,0.006288,0.000305397,
1,2,6, 01/02 06,0,0,0,0,0,0.550919,0.836618,0.88065,0,0,0,1.38754,2.26819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83044,626.966,894.518,5.73985,89.9626,100,0.000303695,0.0054633,0.006288,0.000305397,0,0,8.69077,5.73985,0.000303695,0.000305397,2.93583,0,6.20293,0,1.73144,3.40817,7.62576,13.6556,4.90052,2.30527,7.32383,21.9041,50.0893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85023,1269.81,1106.78,5.73985,89.9626,100,0.000303695,0.0060051,0.006288,0.000305397,
