,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,2,6, 01/02 06,10.6286,0.165379,6.52481,0,0,0,0.82122,2.28618,0,0.0185211,0.0875426,18.14,20.5323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83044,626.966,894.518,5.73985,89.9626,100,0.000303695,0.0054633,0.006288,0.000305397,0,-16.9959,3.4768,
1,2,7, 01/02 07,7.28679,0.16976,4.78656,0,0,0,0.834409,2.28618,0,0.0185211,0.0875426,13.0775,15.4698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69625,626.966,894.518,7.50866,89.9626,100,0.000397283,0.0054633,0.006288,0.000705071,0,-5.35777,4.90494,
1,2,8, 01/02 08,5.8684,0.179622,4.0785,0,0,0,2.12015,5.53958,0,0.0555634,0.0875426,12.2467,17.9294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.57896,626.966,894.518,6.16084,89.9626,100,0.00032597,0.0054633,0.006288,0.000176325,-0.101817,0,3.28432,
1,2,9, 01/02 09,4.27889,0.199568,3.67864,0,0,0,3.31398,15.2998,0,0.120387,0.0875426,11.4711,26.9788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44377,626.966,894.518,5.20798,89.9626,100,0.000275554,0.0054633,0.006288,0,-2.4105,0,2.41543,
1,2,10, 01/02 10,3.77384,0.213837,3.66652,0,0,0,3.27193,15.2998,0,0.120387,0.0875426,10.9261,26.4338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4219,626.966,894.518,5.20583,89.9626,100,0.00027544,0.0054633,0.006288,0,-2.5578,0,2.39868,
1,2,11, 01/02 11,2.92454,0.41486,3.99661,0,0,0,3.24748,15.2998,0,0.120387,0.0875426,10.5835,26.0912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42108,626.966,894.518,5.22056,89.9626,100,0.00027622,0.0054633,0.006288,0,-3.41773,0,2.39806,
1,2,12, 01/02 12,2.40143,0.779243,4.47577,0,0,0,3.23075,15.2998,0,0.120387,0.0875426,10.8872,26.3949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41679,626.966,894.518,4.12507,89.9626,100,0.000218257,0.0054633,0.006288,0,-4.17589,0,2.39477,
1,2,13, 01/02 13,2.68077,1.05787,4.67342,0,0,0,3.23849,15.2998,0,0.120387,0.0875426,11.6505,27.1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41282,626.966,894.518,4.06489,89.9626,100,0.000215074,0.0054633,0.006288,0,-4.44203,0,2.39174,
1,2,14, 01/02 14,2.34216,1.0996,4.79401,0,0,0,3.28659,15.2998,0,0.120387,0.0875426,11.5224,27.0301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42203,626.966,894.518,4.09321,89.9626,100,0.000216572,0.0054633,0.006288,0,-2.20746,0,2.39879,
1,2,15, 01/02 15,2.57997,1.1909,4.84307,0,0,0,3.32726,15.2998,0,0.120387,0.0875426,11.9412,27.4489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42812,626.966,894.518,4.08768,89.9626,100,0.000216279,0.0054633,0.006288,0,-2.47254,0,2.40344,
1,2,16, 01/02 16,2.95277,1.23636,4.90703,0,0,0,3.80085,15.2998,0,0.120387,0.0875426,12.897,28.4047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71802,626.966,894.518,4.78592,89.9626,100,0.000253223,0.0054633,0.006288,0,-0.994246,0,2.62534,
1,2,17, 01/02 17,3.30743,1.27895,4.95428,0,0,0,5.07949,15.2998,0,0.120387,0.0875426,14.6202,30.1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2996,626.966,894.518,6.19968,89.9626,100,0.000328025,0.0054633,0.006288,0,-0.0647255,0,3.07049,
1,2,18, 01/02 18,4.32934,0.263072,3.5498,0,0,0,2.88087,8.79298,0,0.064824,0.0875426,11.0231,19.9684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.80498,626.966,894.518,7.16031,89.9626,100,0.000378852,0.0054633,0.006288,0,0,0,3.45732,
1,2,19, 01/02 19,3.62924,0.216765,3.27026,0,0,0,2.44717,5.53958,0,0.0555634,0.0875426,9.56344,15.2461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79057,626.966,894.518,8.51113,89.9626,100,0.000450324,0.0054633,0.006288,0.000284725,0,0,4.97713,
1,2,20, 01/02 20,3.54037,0.211937,3.27818,0,0,0,2.43069,5.53958,0,0.0555634,0.0875426,9.46118,15.1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2422,626.966,894.518,8.50474,89.9626,100,0.000449986,0.0054633,0.006288,0.00038495,0,0,5.32284,
1,2,21, 01/02 21,3.95411,0.205782,3.31823,0,0,0,1.62266,3.91288,0,0.0370423,0.0875426,9.10078,13.1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3692,626.966,894.518,8.48575,89.9626,100,0.000448981,0.0054633,0.006288,0.000461274,0,0,5.42002,
1,2,22, 01/02 22,4.3203,0.201162,3.39611,0,0,0,1.62266,3.91288,0,0.0370423,0.0875426,9.54023,13.5777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6652,626.966,894.518,8.50291,89.9626,100,0.000449889,0.0054633,0.006288,0.00092845,0,0,6.412,
1,2,23, 01/02 23,5.32769,0.193267,3.65301,0,0,0,0.814626,2.28618,0,0.0185211,0.0875426,9.98859,12.3808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5194,626.966,894.518,8.49235,89.9626,100,0.00044933,0.0054633,0.006288,0.00129511,0,0,7.0658,
1,2,24, 01/02 24,6.09244,0.185903,3.84916,0,0,0,0.41061,1.47283,0,0.00926056,0.0875426,10.5381,12.1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4849,626.966,894.518,8.49617,89.9626,100,0.000449532,0.0054633,0.006288,0.00200438,0,0,8.57027,
1,3,1, 01/03 01,0.134239,0.179324,0.35952,0,0,0,0.407313,1.47283,0,0.00926056,0,1.0804,2.56248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5344,626.966,894.518,8.66731,89.9626,100,0.000458588,0.0054633,0.006288,0.00315686,0,0,12.4352,
1,3,2, 01/03 02,0.134239,0.177318,0.35952,0,0,0,0.407313,1.47283,0,0.00926056,0,1.07839,2.56048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9944,626.966,894.518,8.66731,89.9626,100,0.000458588,0.0054633,0.006288,0.00289045,0,0,11.2565,
1,3,3, 01/03 03,0.134239,0.175278,0.35952,0,0,0,0.407313,1.47283,0,0.00926056,0,1.07635,2.55844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1557,626.966,894.518,8.66731,89.9626,100,0.000458588,0.0054633,0.006288,0.00147004,0,0,8.3183,
